Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/089/605/GCF_900089605.1_genomic.fna.gz	90.39	0.555	89.95-90.83	0.555	0.45-0.66	1	1.871	544/27977	88.06	NZ_LT594324.1 Micromonospora narathiwatensis strain DSM 45248 chromosome I
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/087/525/GCF_013087525.1_genomic.fna.gz	90.39	0.305	89.62-91.35	0.305	0.21-0.40	1	1.384	242/20368	86.68	NZ_JABFCS010000001.1 Ramlibacter montanisoli strain B156 1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/016/654/115/GCF_016654115.1_genomic.fna.gz	90.38	0.302	89.77-90.77	0.302	0.25-0.36	1	1.605	587/49019	86.70	NZ_JAEQAZ010000100.1 Streptomyces sp. MBT53 scaffold100_size31955_cov59.4328, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/472/965/GCF_000472965.1_genomic.fna.gz	90.38	0.226	89.34-91.32	0.226	0.16-0.30	1	1.274	321/34433	86.00	NZ_AXAU01000001.1 Bradyrhizobium murdochi strain WSM 1741 YUODRAFT_scaffold_0.1_C, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/155/365/GCF_013155365.1_genomic.fna.gz	90.38	0.640	89.72-90.84	0.640	0.52-0.80	1	2.055	398/18244	88.39	NZ_JABJRA010000011.1 Nocardioides sp. zg-DK7169 Scaffold10_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/027/587/225/GCA_027587225.1_genomic.fna.gz	90.38	0.549	89.89-90.74	0.549	0.47-0.66	1	2.031	716/36802	88.07	JAPDDQ010000100.1 Solirubrobacter taibaiensis strain KCTC 29222 Scaffold100_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/008/360/935/GCF_008360935.1_genomic.fna.gz	90.38	0.358	89.77-90.95	0.358	0.28-0.43	1	1.513	386/28133	87.08	NZ_SRXO01000001.1 Siccirubricoccus phaeus strain 1-3 Scaffold1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/866/965/GCF_020866965.1_genomic.fna.gz	90.37	0.384	89.74-91.04	0.384	0.28-0.50	1	1.709	316/21866	87.23	NZ_JAJATX010000069.1 Microvirga roseola strain SM2 map unlocalized plasmid pAA Scaffold69, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/025/265/GCF_000025265.1_genomic.fna.gz	90.37	0.653	89.82-90.75	0.653	0.55-0.82	2	2.625	602/27453	88.41	NC_013739.1 Conexibacter woesei DSM 14684, complete sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/018/388/425/GCF_018388425.1_genomic.fna.gz	90.37	0.564	89.79-90.90	0.564	0.40-0.69	1	2.000	329/16635	88.11	NZ_CP074406.1 Nocardioides faecalis strain zg-536 chromosome, complete genome
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/214/185/GCF_002214185.1_genomic.fna.gz	90.37	0.289	89.81-90.81	0.289	0.24-0.35	1	1.570	533/47007	86.55	NZ_CP022161.1 Streptomyces capitiformicae strain 1H-SSA4 chromosome
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/868/675/GCF_028868675.1_genomic.fna.gz	90.37	0.373	89.75-91.09	0.373	0.27-0.47	1	1.535	310/21766	87.18	NZ_JAGWUA010000211.1 MAG: Bradyrhizobium sp. isolate REEB386 contig-150_10115, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/720/335/GCF_000720335.1_genomic.fna.gz	90.37	0.648	89.78-90.81	0.648	0.53-0.81	1	2.058	398/18011	88.43	NZ_JOJN01000001.1 Marmoricola aequoreus strain NRRL B-24464 contig1.1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/966/335/GCA_025966335.1_genomic.fna.gz	90.37	0.613	89.68-91.05	0.613	0.45-0.82	1	1.770	270/12880	88.28	JAICRS010000339.1 MAG: Nocardioidaceae bacterium isolate TY_ISSM_2_bin.39 k141_1036791_length_2276_cov_6.7302, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/090/295/GCF_900090295.1_genomic.fna.gz	90.37	0.607	89.89-90.76	0.607	0.51-0.73	1	1.948	599/29018	88.23	NZ_LT607753.1 Micromonospora coxensis strain DSM 45161 chromosome I
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/021/155/855/GCA_021155855.1_genomic.fna.gz	90.37	0.654	89.63-90.96	0.654	0.49-0.85	1	2.015	274/12276	88.46	JAJNAZ010000007.1 MAG: Solirubrobacterales bacterium isolate C_No_T20_A_bin.54 scaffold_113, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/426/845/GCF_000426845.1_genomic.fna.gz	90.37	0.292	89.61-91.34	0.292	0.21-0.37	1	1.323	375/32627	86.58	NZ_AUGD01000001.1 Bradyrhizobium japonicum in8p8 K408DRAFT_scaffold00001.1_C, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/017/916/455/GCF_017916455.1_genomic.fna.gz	90.36	0.680	89.78-90.82	0.680	0.54-0.89	1	2.046	372/16113	88.55	NZ_JAFMSY010000001.1 Nocardioides sp. SYSU D00778 NODE_1_length_2332052_cov_30.485548, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/173/775/GCF_003173775.1_genomic.fna.gz	90.36	0.470	89.79-91.08	0.470	0.35-0.57	1	1.811	461/27727	87.62	NZ_CP029552.1 Methylobacterium sp. 17Sr1-1 chromosome, complete genome
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/011/927/725/GCF_011927725.1_genomic.fna.gz	90.36	0.336	89.26-91.09	0.336	0.21-0.50	1	1.774	168/12395	87.05	NZ_JAATJC010000001.1 Sphingomonas kaistensis strain DSM 16846 Ga0373220_01, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/008/704/995/GCF_008704995.1_genomic.fna.gz	90.36	0.339	89.67-90.93	0.339	0.26-0.43	1	1.556	435/33176	86.95	NZ_CP023747.1 Streptomyces nodosus strain ATCC 14899 chromosome, complete genome
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/026/393/175/GCA_026393175.1_genomic.fna.gz	90.36	0.554	89.86-90.70	0.554	0.45-0.69	1	1.994	464/23922	88.06	JAPLAT010000111.1 MAG: Pseudonocardiales bacterium isolate LacPavin_0920_WC70_MAG_75_20 LacPavin_0920_WC70_scaffold_1000280, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/722/485/GCF_001722485.1_genomic.fna.gz	90.36	0.476	89.53-91.12	0.476	0.32-0.65	1	2.043	277/15805	87.77	NZ_LWGL01000001.1 Cellulosimicrobium cellulans strain JZ5 J5_S3.NODE_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/440/475/GCF_001440475.1_genomic.fna.gz	90.36	0.229	89.56-91.36	0.229	0.16-0.30	1	1.383	355/38198	85.99	NZ_LLYB01000001.1 Bradyrhizobium lablabi strain CCBAU 23086 C4762, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/017/308/975/GCF_017308975.1_genomic.fna.gz	90.36	0.365	89.82-90.93	0.365	0.29-0.45	1	1.763	590/42740	87.10	NZ_JADWPD010000001.1 Amycolatopsis sp. MtRt-6 Scaffold1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/008/386/495/GCF_008386495.1_genomic.fna.gz	90.36	0.316	89.68-90.92	0.316	0.25-0.40	1	1.510	524/42915	86.75	NZ_VTHJ01000001.1 Streptomyces tailanensis strain TRM68348 scaffold1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/020/636/915/GCA_020636915.1_genomic.fna.gz	90.36	0.536	89.76-90.88	0.536	0.40-0.66	1	2.031	326/17367	87.96	JACJWV010000001.1 MAG: Nocardioides sp. isolate HK-STAS-ACTI-18 HK-STAS-ACTI-18_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/262/405/GCF_000262405.1_genomic.fna.gz	90.35	0.409	89.89-90.84	0.409	0.32-0.48	1	1.520	450/29885	87.34	NZ_JH660633.1 Microvirga lotononidis strain WSM3557 Micloscaffold_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/583/415/GCF_001583415.1_genomic.fna.gz	90.35	0.321	89.51-91.27	0.321	0.22-0.43	1	1.926	284/23086	86.77	NZ_CP014475.1 Mycolicibacterium phlei strain CCUG 21000 chromosome, complete genome
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/016/861/045/GCA_016861045.1_genomic.fna.gz	90.35	0.716	89.73-90.94	0.716	0.56-0.92	2	2.623	273/11776	88.57	BOKP01000001.1 MAG: Actinomycetes bacterium BroJett022 DNA, sequence1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/965/275/GCA_025965275.1_genomic.fna.gz	90.35	0.531	89.67-90.95	0.531	0.41-0.67	1	1.734	346/18758	87.91	JAOPXG010000289.1 MAG: Nocardioides sp. isolate RYN_195 scaffold_1031054, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/620/665/GCF_000620665.1_genomic.fna.gz	90.35	0.489	89.44-91.27	0.489	0.32-0.69	1	1.729	218/12118	87.84	NZ_JIAU01000001.1 Sphingomonas sp. URHD0057 N539DRAFT_scaffold00010.10_C, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/009/694/215/GCA_009694215.1_genomic.fna.gz	90.35	0.286	89.16-91.80	0.286	0.16-0.44	1	1.509	167/15139	86.47	SHVN01000060.1 MAG: Xanthobacteraceae bacterium isolate Baikal-deep-G39 BACOMB-40M-C1009, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/016/803/235/GCA_016803235.1_genomic.fna.gz	90.34	0.453	89.68-91.06	0.453	0.33-0.59	1	1.866	389/23177	87.65	JADCLI010000010.1 Pimelobacter simplex strain 3E NODE_10_length_144352_cov_108.050421, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/018/131/015/GCF_018131015.1_genomic.fna.gz	90.34	0.361	89.67-90.92	0.361	0.28-0.45	1	1.505	422/30815	87.07	NZ_JAFCJJ010000001.1 Bradyrhizobium diazoefficiens strain SZCCT0423 NODE_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/006/346/315/GCF_006346315.1_genomic.fna.gz	90.34	0.541	89.73-90.75	0.541	0.44-0.68	1	2.083	386/20097	88.03	NZ_VDMR01000012.1 Nocardioides litoris strain DSM 103718 Scaffold10_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/008/761/635/GCF_008761635.1_genomic.fna.gz	90.34	0.521	89.62-90.95	0.521	0.38-0.70	1	1.956	316/17228	87.90	NZ_CP044344.1 Nocardioides cynanchi strain SB3-45 chromosome, complete genome
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/955/652/075/GCA_955652075.1_genomic.fna.gz	90.34	0.625	89.35-91.09	0.625	0.43-0.92	1	2.056	178/8600	88.24	CATPAS010000001.1 MAG: uncultured Gaiellaceae bacterium isolate COA_Bin_2_3 genome assembly, contig: co_assembly_000000187416, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/008/369/065/GCF_008369065.1_genomic.fna.gz	90.34	0.388	89.83-90.87	0.388	0.31-0.47	1	1.749	549/38054	87.22	NZ_VDFC01000001.1 Streptomyces apricus strain SUN51 Scaffold_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/005/222/485/GCF_005222485.1_genomic.fna.gz	90.33	0.386	89.90-90.79	0.386	0.32-0.46	1	1.558	552/38556	87.20	NZ_CP029078.1 Streptomyces griseoviridis strain K61 chromosome, complete genome
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/519/545/GCF_004519545.1_genomic.fna.gz	90.33	0.555	89.76-90.69	0.555	0.45-0.69	1	2.124	444/22892	88.06	NZ_SDKM01000001.1 Nocardioides guangzhouensis strain 130 scaffold1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/023/435/725/GCA_023435725.1_genomic.fna.gz	90.33	0.303	89.64-91.12	0.303	0.22-0.38	1	1.432	396/34335	86.59	JAEYRD010000214.1 MAG: Proteobacteria bacterium isolate OH_CBB_46 k127_1011013, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/009/377/235/GCF_009377235.1_genomic.fna.gz	90.33	0.341	89.87-90.79	0.341	0.28-0.41	1	1.631	563/43317	86.93	NZ_VMNX01000100.1 Streptomyces acidicola strain K1PN6 NODE_100_length_31685_cov_41.1707, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/009/720/245/GCF_009720245.1_genomic.fna.gz	90.33	0.453	89.47-91.35	0.453	0.29-0.63	1	1.810	210/12431	87.67	NZ_WJSQ01000001.1 Sphingomonas segetis strain YJ09 1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/021/442/385/GCF_021442385.1_genomic.fna.gz	90.33	0.516	89.82-90.89	0.516	0.41-0.61	1	1.853	544/29839	87.88	NZ_MUZA01000001.1 Micromonospora sp. MH99 B0E54_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/004/522/095/GCF_004522095.1_genomic.fna.gz	90.33	0.578	89.69-90.74	0.578	0.46-0.75	1	2.070	387/19354	88.14	NZ_SPUI01000012.1 Nocardioides sp. 503 Scaffold10_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/620/705/GCF_000620705.1_genomic.fna.gz	90.33	0.535	89.76-90.80	0.535	0.43-0.67	1	2.128	376/20133	87.95	NZ_KK211165.1 Nocardioides sp. URHA0020 N542DRAFT_scaffold00010.10, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/008/905/045/GCF_008905045.1_genomic.fna.gz	90.33	0.307	89.85-90.80	0.307	0.24-0.37	1	1.492	608/51560	86.65	NZ_VWMY01000001.1 Streptomyces albicerus strain TRM68295 scaffold1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/028/128/955/GCF_028128955.1_genomic.fna.gz	90.32	0.324	89.68-90.90	0.324	0.25-0.40	1	1.363	509/41460	86.77	NZ_LBKA01000035.1 Bradyrhizobium sp. CCBAU 11386 C383, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/950/101/795/GCF_950101795.1_genomic.fna.gz	90.32	0.585	89.87-90.74	0.585	0.48-0.69	1	1.980	443/22009	88.16	NZ_CATNLZ010000001.1 Nocardioides sp. T2.26MG-1 isolate Nocardioides_assembly gnl_Prokka_scaffold_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/013/695/855/GCA_013695855.1_genomic.fna.gz	90.32	0.667	89.56-91.18	0.667	0.47-0.91	2	2.815	173/8165	88.31	JACCZR010000081.1 MAG: Thermoleophilaceae bacterium isolate MGR_bin235 SD2897-2912_k127_101018, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/023/264/975/GCA_023264975.1_genomic.fna.gz	90.32	0.239	89.08-92.27	0.239	0.11-0.37	1	1.773	154/16275	86.04	JAHFUS010000002.1 MAG: Actinomycetes bacterium isolate nzgw85 NODE_101_length_131614_cov_27.626916, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/027/925/GCF_003027925.1_genomic.fna.gz	90.32	0.536	89.96-90.81	0.536	0.42-0.64	1	1.903	576/30881	87.95	NZ_PYPS01000096.1 Micromonospora sp. RP3T NODE_100_length_951_cov_0.737864, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/024/711/025/GCA_024711025.1_genomic.fna.gz	90.32	0.896	89.87-90.88	0.896	0.68-1.10	2	2.749	362/13491	88.98	JANJTP010000008.1 MAG: Solirubrobacteraceae bacterium isolate RX2_metabat.bin.12 RX2_k141_107722, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/129/455/GCF_900129455.1_genomic.fna.gz	90.31	0.552	89.77-90.65	0.552	0.44-0.69	1	2.234	385/19597	88.09	NZ_FQVU01000009.1 Jatrophihabitans endophyticus strain DSM 45627, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/014/534/155/GCA_014534155.1_genomic.fna.gz	90.31	0.526	89.57-91.44	0.526	0.33-0.71	1	1.843	153/8420	87.87	JACVSB010000312.1 MAG: Thermoleophilia bacterium isolate Co-bin4 k141_1001890_length_1755_cov_13.9678, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/963/965/GCA_025963965.1_genomic.fna.gz	90.31	0.615	89.39-90.93	0.615	0.45-0.91	1	2.215	274/13034	88.29	JAOPZS010000087.1 MAG: Solirubrobacterales bacterium isolate RYN_261 scaffold_1010543, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/021/732/005/GCA_021732005.1_genomic.fna.gz	90.31	0.172	89.19-92.08	0.172	0.09-0.26	1	1.767	176/24725	85.26	JAKFVT010000033.1 MAG: Mycobacterium sp. isolate D4_Bin_10 D4_0000003, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/935/515/GCA_025935515.1_genomic.fna.gz	90.30	0.484	89.38-91.43	0.484	0.30-0.70	1	1.659	138/8159	87.67	JAICVC010000045.1 MAG: Sphingomonas sp. isolate HEB_FP_1_bin.19 k141_1019628_length_13352_cov_8.0000, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/023/257/515/GCA_023257515.1_genomic.fna.gz	90.30	0.321	89.44-91.87	0.321	0.17-0.48	1	2.160	188/15256	86.78	JALRCA010000064.1 MAG: Aeromicrobium sp. isolate HQM.2 HQM_1000866, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/716/435/GCF_000716435.1_genomic.fna.gz	90.30	0.330	89.87-90.67	0.330	0.28-0.40	1	1.586	611/49391	86.79	NZ_JNWO01000001.1 Streptomyces xylophagus strain NRRL B-12029 contig1.1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/160/695/GCF_003160695.1_genomic.fna.gz	90.30	0.514	89.71-90.88	0.514	0.41-0.65	1	1.803	355/19268	87.91	NZ_QGDD01000001.1 Nocardioides silvaticus strain CCTCC AB 2018079 contig1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/902/806/275/GCA_902806275.1_genomic.fna.gz	90.30	0.382	89.18-91.67	0.382	0.21-0.59	1	1.480	100/7019	87.19	CADCVY010000001.1 MAG: uncultured Sphingomonas sp. isolate AVDCRST_MAG44 genome assembly, contig: NODE1020, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/013/408/525/GCF_013408525.1_genomic.fna.gz	90.30	0.473	89.71-90.92	0.473	0.35-0.59	1	2.056	378/22524	87.65	NZ_JACBZM010000001.1 Nocardioides aromaticivorans strain DSM 15131 Ga0104571_01, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/018/268/575/GCA_018268575.1_genomic.fna.gz	90.30	0.523	89.62-90.98	0.523	0.39-0.68	1	1.939	329/18301	87.84	JAFDWF010000100.1 MAG: Actinobacteria bacterium isolate SZAS-14 LIN-594__100__length-11397, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/022/179/385/GCF_022179385.1_genomic.fna.gz	90.29	0.393	89.69-90.92	0.393	0.31-0.51	1	1.706	401/28133	87.19	NZ_BPQS01000001.1 Methylobacterium longum strain DSM 23933 entry1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/138/435/GCF_014138435.1_genomic.fna.gz	90.29	0.415	89.71-90.86	0.415	0.33-0.52	1	1.642	386/25837	87.32	NZ_JACJIM010000001.1 Methylobacterium fujisawaense strain DSM 5686 Ga0373204_01, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/029/626/035/GCF_029626035.1_genomic.fna.gz	90.29	0.566	89.83-90.71	0.566	0.48-0.68	1	1.982	542/28638	87.99	NZ_JARUBE010000001.1 Micromonospora sp. WMMD980 tig00000002, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/019/348/535/GCA_019348535.1_genomic.fna.gz	90.29	0.328	89.31-92.05	0.328	0.17-0.48	1	2.291	103/8494	86.73	JAHWJG010000131.1 MAG: Actinobacteria bacterium isolate 0707_bin11 NODE_10008_length_3641_cov_144.950920, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/942/335/GCF_001942335.1_genomic.fna.gz	90.28	0.365	89.28-91.59	0.365	0.20-0.52	1	2.281	228/16102	87.17	NZ_MKKH01000001.1 Cellulosimicrobium sp. CUA-896 NODE_10_length_105347_cov_159.463_ID_15, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/151/255/GCF_003151255.1_genomic.fna.gz	90.28	0.352	89.33-91.10	0.352	0.26-0.49	1	1.498	239/18717	86.88	NZ_CP029481.1 Microvirga sp. 17 mud 1-3 chromosome, complete genome
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/261/055/GCF_003261055.1_genomic.fna.gz	90.28	0.389	89.76-90.65	0.389	0.33-0.46	1	1.565	595/42157	87.16	NZ_CP030073.1 Streptomyces cadmiisoli strain ZFG47 chromosome, complete genome
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/001/942/415/GCA_001942415.1_genomic.fna.gz	90.28	0.533	89.83-90.79	0.533	0.43-0.64	1	1.900	570/30882	87.92	MKJX01000001.1 Pseudonocardia sp. CNS-139 NODE_100_length_23626_cov_141.038_ID_177, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/030/447/875/GCA_030447875.1_genomic.fna.gz	90.28	0.571	89.19-91.35	0.571	0.36-0.85	2	2.476	147/7327	88.15	JAUJOA010000032.1 MAG: Thermoleophilaceae bacterium isolate YX2bin5 opera_contig_10599, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/021/864/505/GCF_021864505.1_genomic.fna.gz	90.28	0.377	89.44-90.96	0.377	0.27-0.52	1	1.625	280/19963	87.14	NZ_JAKJIB010000001.1 Roseomonas sp. NPKOSM-4 1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/022/436/705/GCF_022436705.1_genomic.fna.gz	90.28	0.489	89.64-91.03	0.489	0.35-0.61	1	2.024	327/18483	87.80	NZ_JAKUHT010000020.1 Nocardioides sp. CFH 31398 Scaffold10_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/030/285/645/GCF_030285645.1_genomic.fna.gz	90.27	0.338	89.75-90.80	0.338	0.27-0.41	1	1.745	560/44575	86.83	NZ_CP127296.1 Amycolatopsis sp. DG1A-15b chromosome, complete genome
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/012/911/875/GCF_012911875.1_genomic.fna.gz	90.27	0.533	89.80-90.88	0.533	0.39-0.64	1	1.917	495/26713	87.93	NZ_JAAXKZ010000100.1 Pseudonocardia bannensis strain DSM 45300 NODE_100_length_23011_cov_17.736628, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/027/493/885/GCA_027493885.1_genomic.fna.gz	90.27	0.487	89.37-91.00	0.487	0.34-0.66	2	2.683	243/14236	87.69	JAOSJZ010000001.1 MAG: Gaiella sp. isolate FR_16 FR-Gaiella-1_s1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCA/021/325/365/GCA_021325365.1_genomic.fna.gz	90.27	0.285	89.54-91.04	0.285	0.21-0.38	1	1.327	358/33196	86.41	JAJPHF010000178.1 MAG: Proteobacteria bacterium isolate Centralia_MAG_138 k107_10044702, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/102/135/GCF_900102135.1_genomic.fna.gz	90.27	0.353	89.56-91.04	0.353	0.26-0.47	1	1.709	265/20273	86.94	NZ_FMVJ01000030.1 Microvirga guangxiensis strain CGMCC 1.7666, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/418/475/GCF_001418475.1_genomic.fna.gz	90.27	0.382	89.80-90.77	0.382	0.30-0.46	1	1.622	555/39728	87.13	NZ_LIQX01000001.1 Streptomyces ossamyceticus strain NRRL B-3822 B-3822_contig_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/018/130/785/GCF_018130785.1_genomic.fna.gz	90.26	0.331	89.72-90.83	0.331	0.26-0.41	1	1.431	445/35882	86.80	NZ_JAFCJT010000001.1 Bradyrhizobium liaoningense strain SZCCT0399 NODE_1, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/090/105/GCF_900090105.1_genomic.fna.gz	90.26	0.622	89.88-90.66	0.622	0.51-0.75	1	1.897	581/28534	88.20	NZ_FMDM01000037.1 Micromonospora humi strain DSM 45647, whole genome shotgun sequence
S12485_1_R2.fastq.gz	gtdb_genomes_reps_r220/database/GCF/021/648/885/GCF_021648885.1_genomic.fna.gz	90.26	0.618	89.75-90.79	0.618	0.47-0.73	1	2.029	375/18435	88.19	NZ_JAKJHZ010000001.1 Nocardioides potassii strain KLBMP 9356 Scaffold1_1, whole genome shotgun sequence
